file,section_id,section_title,line_count,word_count,subsections,definitions,propositions,theorems,examples,exercise_own,exercise_included,exercise_total,includes
Sec-Applications-doubles.ptx,sec_int_2d_applications,Applications des intégrales doubles,718,4871,3,4,0,0,7,0,10,10,source/Problemes/Prob-sec-Applications-doubles.ptx
Sec-Champs-Intro.ptx,sec_champs_intro,Champs de vecteurs,648,4660,2,1,0,0,8,0,9,9,source/Problemes/Prob-sec-Champs-Intro.ptx
Sec-Chgt-var.ptx,sec_chgt-vars,Changements de variables pour les intégrales multiples,845,6565,3,2,0,2,7,0,11,11,source/Problemes/Prob-sec-Chgt-var.ptx
Sec-Composees.ptx,sec_chain_rule,Règle de dérivation des fonctions composées,832,7521,4,0,0,2,10,0,27,27,source/Problemes/Prob-sec-Composees.ptx
Sec-Conservatifs.ptx,sec_Indep-traj,Champs conservatifs et indépendance de la trajectoire,762,6532,0,1,0,4,6,0,15,15,source/Problemes/Prob-sec-Conservatifs.ptx
Sec-Continuite.ptx,sec-Continuite,Limites et continuité,560,4563,2,2,0,4,10,0,11,11,source/Problemes/Prob-sec-Continuite.ptx
Sec-Coordonnes-polaires.ptx,sec_polars,Intégrales doubles en coordonnées polaires,1196,8027,4,1,0,0,8,0,24,24,source/Problemes/Prob-sec-Coordonnes-polaires.ptx
Sec-Courbes.ptx,sec-Courbes,Courbes,422,3618,0,0,0,0,8,0,12,12,source/Problemes/Prob-sec-Courbes.ptx
Sec-Derivees-Partielles.ptx,sec-Derivees-Partielles,Dérivées partielles,1122,7936,5,2,0,1,12,0,19,19,source/Problemes/Prob-sec-Derivees-Partielles.ptx
Sec-Differentiabilite.ptx,sec_lin_approx,Différentiabilité et approximations linéaires,1059,7648,3,2,0,5,9,0,27,27,source/Problemes/Prob-sec-Differentiabilite.ptx
Sec-Div-Rot.ptx,sec-rot-div,Le rotationnel et la divergence,882,5647,3,3,0,7,7,0,13,13,source/Problemes/Prob-sec-Div-Rot.ptx
Sec-Divergence.ptx,Sec_Divergence,Le Théorème de la divergence,1030,9392,3,0,0,2,8,0,50,50,source/Problemes/Prob-sec-Divergence.ptx
Sec-Droites-plans.ptx,sec-1-5-Droites-plans,Droites et plans,408,3577,3,0,0,0,3,0,9,9,source/Problemes/Prob-sec-Droites-plans.ptx
Sec-Fonctions.ptx,S2-1-Plusieurs-variables,Fonctions de plusieurs variables,450,3813,2,5,0,0,5,0,11,11,source/Problemes/Prob-sec-Fonctions.ptx
Sec-Gradient.ptx,sec_gradient,Vecteur gradient,1139,9520,3,2,1,2,14,0,32,32,source/Problemes/Prob-sec-Gradient.ptx
Sec-Green.ptx,sec-green,Le Théorème de Green,843,6779,3,1,0,2,8,0,25,25,source/Problemes/Prob-sec-Green.ptx
Sec-Integrales-Surface.ptx,sec_surfaceIntegrals,Intégrales de surface,1271,8748,2,1,0,0,8,0,7,7,source/Problemes/Prob-sec-Integrales-Surface.ptx
Sec-Integrales-doubles.ptx,sec_2d_integrals,Intégrales doubles,1846,13742,5,3,0,6,11,0,29,29,source/Problemes/Prob-sec-Integrales-Doubles.ptx
Sec-Integrales-ligne.ptx,sec_lineIntegral,Intégrales de ligne,848,6907,2,2,0,0,9,0,5,5,source/Problemes/Prob-sec-Integrales-ligne.ptx
Sec-Integrales-triples.ptx,sec_int_triples,Intégrales triples,551,5364,3,2,0,1,4,0,22,22,source/Problemes/Prob-sec-Integrales-triples.ptx
Sec-Lagrange.ptx,sec_Lagrange,Multiplicateurs de Lagrange,818,6557,2,1,0,2,6,0,12,12,source/Problemes/Prob-sec-Lagrange.ptx
Sec-Longueur-courbure.ptx,sec-Longueur-courbure,Longueur d'arc et courbure,882,7226,3,2,3,1,11,0,10,10,source/Problemes/Prob-sec-Longueur-courbure.ptx
Sec-Max-min.ptx,sec_max,Valeurs maximales et minimales,2028,16449,3,3,0,2,18,0,18,18,source/Problemes/Prob-sec-Max-min.ptx
Sec-Produit-scalaire.ptx,sec-Prd-scalaire,Produit scalaire : angles et distances,362,2179,2,3,2,1,4,0,12,12,source/Problemes/Prob-sec-Prod-scalaire.ptx
Sec-Produit-vectoriel.ptx,sec-Produit-vectoriel,Produit vectoriel,316,2159,0,1,2,0,0,0,18,18,source/Problemes/Prob-sec-Prod-vectoriel.ptx
Sec-Stokes.ptx,sec_StokesThm,Le Théorème de Stokes,877,6258,2,0,0,1,6,0,39,39,source/Problemes/Prob-sec-Stokes.ptx
Sec-Surfaces.ptx,sec_Surfaces,Surfaces,727,5086,2,0,0,1,8,0,13,13,source/Problemes/Prob-sec-Surfaces.ptx
Sec-Tangentes.ptx,sec-Tangentes,Tangentes aux courbes paramétriques,356,2649,0,2,0,1,4,0,12,12,source/Problemes/Prob-sec-Tangentes.ptx
Sec-Taylor.ptx,sec_Taylor,Polynômes de Taylor avec plusieurs variables,495,4080,3,2,1,0,4,0,4,4,source/Problemes/Prob-sec-Taylor.ptx
Sec-Triples-cyl-sph.ptx,sec_cylindrical,Intégrales triples en coordonnées cylindriques et sphériques,743,5356,5,2,0,0,4,0,48,48,source/Problemes/Prob-sec-Triples-Cyl-Sph.ptx
Sec-Vecteurs.ptx,sec-Vecteurs,Vecteurs,353,2733,3,2,0,1,0,0,7,7,source/Problemes/Prob-sec-Vecteurs.ptx
Sec-pts.ptx,S-1-1-Points-vecteurs,Points et coordonnées en deux et trois dimensions,115,1089,0,0,0,0,0,0,8,8,source/Problemes/Prob-sec-pts.ptx
